run_id,task_id,model_id,status,signature,artifact,metrics,reason
research_20260727_v1,W0-PRETRAINED,chronos_2,blocked,chronos_2|unknown_revision|316_rows|compact_causal_v1|seed_20260727,,,chronos package unavailable; official API/revision not verified
research_20260727_v1,W0-PRETRAINED,tirex_2,blocked,tirex_2|unknown_revision|316_rows|compact_causal_v1|seed_20260727,,,package/interface unavailable; no fabricated run
research_20260727_v1,W0-PRETRAINED,timesfm,blocked,timesfm|unknown_revision|316_rows|compact_causal_v1|seed_20260727,,,package/interface unavailable; no fabricated run
research_20260727_v1,W2-BASELINES,baselines,completed,baselines|workbook_hash|dev_origins|compact_causal_v1|seed_20260727,artifacts/oof_predictions/dev_oof.parquet,reports/tables/dev_metrics.csv,development OOF completed
research_20260727_v1,W3-CLASSICAL,global_logistic,completed,global_logistic|workbook_hash|dev_origins|compact_causal_v1|C0.25|seed_20260727,artifacts/oof_predictions/dev_classical_oof.parquet,reports/tables/dev_metrics.csv,development OOF completed
research_20260727_v1,W3-CLASSICAL,catboost_global,smoke_only,catboost_global|workbook_hash|one_origin|compact_causal_v1|depth4|seed_20260727,, ,one-origin API smoke passed; full walk-forward intentionally not run due bounded execution request
research_20260727_v1,W7-ENSEMBLE,ensemble_equal_weight,completed,ensemble_equal_weight|dev_oof|pre_registered|seed_20260727,artifacts/oof_predictions/dev_ensemble.parquet,reports/tables/dev_ensemble_metrics.csv,development Level-B artifact completed; no Level-C calibration claim
research_20260727_v2,W3-CLASSICAL,catboost_global,timeout,catboost_global|workbook_hash|dev_origins_120_267|compact_causal_v1|depth4|iterations120|seed_20260727,, ,full walk-forward exceeded 300 second wall/CPU budget; PID 10980 stopped; no partial artifact retained
research_20260727_v3,W3-CLASSICAL,catboost_global_v2,completed,catboost_global|workbook_hash|dev_origins_120_267|compact_causal_v1|depth4|iterations120|seed_20260727,artifacts/oof_predictions/catboost_full_v2.parquet,reports/tables/catboost_full_v2_metrics.csv,full 148-origin chunked/resumable walk-forward completed; standalone challenger rejected for promotion on OOF evidence
research_20260727_v4,W5-PRETRAINED,chronos_2,blocked,chronos_2|local_preflight|no_revision|no_checkpoint,,reports/experiments/pretrained_local_check_v2.json,package/API/checkpoint unavailable; smoke test not run
research_20260727_v4,W5-PRETRAINED,tirex_2,blocked,tirex_2|local_preflight|no_revision|no_checkpoint,,reports/experiments/pretrained_local_check_v2.json,package/API/checkpoint unavailable; smoke test not run
research_20260727_v4,W5-PRETRAINED,timesfm,blocked,timesfm|local_preflight|no_revision|no_checkpoint,,reports/experiments/pretrained_local_check_v2.json,package/API/checkpoint unavailable; smoke test not run
research_20260727_v4,W8-FINAL,global_logistic_final_v2,completed,global_logistic|all_permitted_history|final_v2|seed_20260727,artifacts/model_registry/global_logistic_final_v2.joblib,artifacts/model_registry/final_training_v2.json,final training CLI completed locally; model is registered for unscored ledger generation only
research_20260727_v2,W7-ENSEMBLE,ensemble_equal_weight,completed,ensemble_equal_weight|available_level_a|dev_origins|compact_causal_v1|seed_20260727,artifacts/oof_predictions/dev_ensemble_v2.parquet,reports/tables/dev_ensemble_v2_metrics.csv,available Level-A components only; CatBoost timeout kept as historical negative result
research_20260727_v2,W7-LEVEL-C,calibration_reliability,completed,level_c|earlier_level_b_only|platt|correctness_logistic|block6|cap20|seed_20260727,artifacts/oof_predictions/dev_level_c_v2.parquet,reports/tables/level_c_dev_metrics.csv,per-origin cross-fitted Level-C completed; development-only selective policy
